,id,location,morphology,ra,dec,x,y,p_sph,p_disk,p_irr,p_ps,real_x,real_y
447,449,"[2635, 1578]","[5.238370138982995e-05, 0.8768691444802844, 0.12307075403017287, 7.717788152939808e-06]",110.84056525776633,-73.43860254066892,1578.0,2635.0,5.238370138982995e-05,0.8768691444802844,0.12307075403017287,7.717788152939808e-06,2378.0,3435.0
448,450,"[2637, 1907]","[0.2015924770464345, 0.008153046711201314, 0.02511923518251982, 0.7651352410598444]",110.82132839445119,-73.43856897402043,1907.0,2637.0,0.2015924770464345,0.008153046711201314,0.02511923518251982,0.7651352410598444,2707.0,3437.0
449,451,"[2644, 1186]","[0.06361238197905682, 0.8331943932305506, 0.03115232860158736, 0.07204089618880521]",110.86348553758036,-73.43845051484209,1186.0,2644.0,0.06361238197905682,0.8331943932305506,0.03115232860158736,0.07204089618880521,1986.0,3444.0
450,452,"[2664, 1940]","[0.03903791339644211, 1.5931059898255617e-05, 9.377442276518447e-05, 0.9608523811208944]",110.81939923469992,-73.43811885328904,1940.0,2664.0,0.03903791339644211,1.5931059898255617e-05,9.377442276518447e-05,0.9608523811208944,2740.0,3464.0
451,453,"[2663, 1874]","[0.8675038033394623, 0.1278545763852257, 0.004056196015209757, 0.0005854242601022392]",110.82325818666149,-73.43813574375288,1874.0,2663.0,0.8675038033394623,0.1278545763852257,0.004056196015209757,0.0005854242601022392,2674.0,3463.0
452,454,"[2676, 2328]","[3.642923635472519e-05, 0.8963045201567618, 0.10356401069943369, 9.503990744978675e-05]",110.79671365128611,-73.43791610183456,2328.0,2676.0,3.642923635472519e-05,0.8963045201567618,0.10356401069943369,9.503990744978675e-05,3128.0,3476.0
453,455,"[2680, 2037]","[0.001235945591717898, -1.4560222328816483e-06, 0.0, 0.998765510430515]",110.81372803953741,-73.43785172886493,2037.0,2680.0,0.001235945591717898,-1.4560222328816483e-06,0.0,0.998765510430515,2837.0,3480.0
454,456,"[2680, 1362]","[0.9787390582588986, 0.01891781695936448, 0.001969803437918662, 0.0003733213438182924]",110.85319407858462,-73.43785173436689,1362.0,2680.0,0.9787390582588986,0.01891781695936448,0.001969803437918662,0.0003733213438182924,2162.0,3480.0
455,457,"[2690, 1779]","[1.1119521175409568e-05, 0.909468804126872, 0.08956338494124937, 0.0009566914107031756]",110.82881288226228,-73.43768594125332,1779.0,2690.0,1.1119521175409568e-05,0.909468804126872,0.08956338494124937,0.0009566914107031756,2579.0,3490.0
456,458,"[2691, 1298]","[0.0, 0.9976537618854308, 0.0022718064583508975, 7.443165621839263e-05]",110.85693579110416,-73.4376680160741,1298.0,2691.0,0.0,0.9976537618854308,0.0022718064583508975,7.443165621839263e-05,2098.0,3491.0
457,459,"[2708, 1219]","[0.00035364516816800814, 0.01665044789111809, 0.9696271054397194, 0.013368801500994506]",110.86155426223796,-73.4373841155012,1219.0,2708.0,0.00035364516816800814,0.01665044789111809,0.9696271054397194,0.013368801500994506,2019.0,3508.0
458,460,"[2711, 1658]","[0.002352412422138342, 0.9956047584668761, 0.0020195038448407843, 2.3325266144801128e-05]",110.83588741700947,-73.43733597974767,1658.0,2711.0,0.002352412422138342,0.9956047584668761,0.0020195038448407843,2.3325266144801128e-05,2458.0,3511.0
459,461,"[2709, 1114]","[9.545901461106738e-06, 0.10816981061485285, 0.8894924721261115, 0.0023281713575745606]",110.86769322068918,-73.43736653737622,1114.0,2709.0,9.545901461106738e-06,0.10816981061485285,0.8894924721261115,0.0023281713575745606,1914.0,3509.0
460,462,"[2727, 1770]","[8.551231956414375e-05, 0.9823314230738697, 0.017277937511435453, 0.0003051270951307827]",110.82933924122693,-73.43706928571858,1770.0,2727.0,8.551231956414375e-05,0.9823314230738697,0.017277937511435453,0.0003051270951307827,2570.0,3527.0
461,463,"[2735, 1630]","[0.9927852670695673, 0.0021122813975932666, 0.001189631909405274, 0.003912819623434236]",110.83752438248848,-73.43693595467975,1630.0,2735.0,0.9927852670695673,0.0021122813975932666,0.001189631909405274,0.003912819623434236,2430.0,3535.0
462,464,"[2740, 2128]","[0.005966319321778097, 0.0199130109027294, 0.9718115635260655, 0.0023091062494270103]",110.80840890548853,-73.43685116012918,2128.0,2740.0,0.005966319321778097,0.0199130109027294,0.9718115635260655,0.0023091062494270103,2928.0,3540.0
